Address,Incident Date,Vehicle Involved,Person Injured,Person Killed,Comments
371 NEWBURN DRIVE,6/23/2013,,,,
509 WASHINGTON ROAD,6/23/2013,,,,Stuck in sewer.
1349 PINEWOOD DRIVE,6/22/2013,,,,
ARLINGTON PARK,6/22/2013,,,,On side of road.
325 TWIN HILLS DRIVE,6/21/2013,,,,In woods.
997 MCNEILLY ROAD,6/19/2013,,,,On side of road.
1360 SYLVANDELL DRIVE,6/19/2013,,,,
466 OLD FARM ROAD,6/18/2013,,,,Aggressive deer on property.
91 WOODLAND DRIVE,6/17/2013,,,,
36 ROCKLYNN PLACE,6/16/2013,,,,In alley.
1057 LINDENDALE DRIVE,6/14/2013,,,,
COCHRAN ROAD,6/13/2013,X,,,Vehicle driveable.
805 WAINWRIGHT DRIVE,6/12/2013,,,,
638 KENILWORTH DRIVE,6/12/2013,,,,
1155 WASHINGTON ROAD,6/12/2013,,,,
ROBB HOLLOW ROAD,6/12/2013,X,,,Discharged by animal control.
259 BROADMOOR AVENUE,6/9/2013,,,,
215 PARKER DRIVE,6/9/2013,,,,
455 CLOKEY AVENUE,6/8/2013,,,,
224 SLEEPY HOLLOW ROAD,6/8/2013,,,,
221 CATALPA PLACE,6/7/2013,,,,
43 SENECA DRIVE,6/6/2013,,,,Deer stuck in porch railing.
500 SLEEPY HOLLOW ROAD,6/6/2013,,,,
454 MORRISON DRIVE,6/5/2013,,,,
1701 COCHRAN ROAD,6/5/2013,,,,In parking lot.
718 PARKSIDE AVENUE,6/5/2013,,,,Deer laying against door.
1105 WASHINGTON ROAD,6/4/2013,,,,
476 THORNYCROFT AVENUE,6/3/2013,,,,
191 LONGUEVUE DRIVE,6/3/2013,,,,
217 LONGUEVUE DRIVE,6/3/2013,,,,
1170 BOWER HILL ROAD,6/3/2013,,,,
1539 WASHINGTON ROAD,6/3/2013,,,,
1721 COCHRAN ROAD,6/2/2013,,,,On property.
1685 MCFARLAND ROAD,6/2/2013,X,,,
536 KELSO ROAD,6/2/2013,,,,
354 SHADOWLAWN AVENUE,6/1/2013,,,,
149 SENECA DRIVE,6/1/2013,,,,
MT. LEBANON BOULEVARD,6/1/2013,,,,
332 OLD FARM ROAD,6/1/2013,,,,Chasing puppy.
199 MOHAWK DRIVE,5/31/2013,,,,At front door.
100 LEBANON HILLS DRIVE,5/31/2013,,,,
91 WOODLAND DRIVE,5/31/2013,,,,Injured deer and sick deer.
100 LEBANON HILLS DRIVE,5/30/2013,,,,
1170 DRIFTWOOD DRIVE,5/30/2013,,,,
1386 WASHINGTON ROAD,5/29/2013,,,,Deer laying against front door.
78 WOODLAND DRIVE,5/29/2013,,,,
1085 MISSISSIPPI AVENUE,5/29/2013,,,,
109 MORTON LANE,5/29/2013,,,,Two dead deer.
1 MISSION DRIVE,5/29/2013,,,,
30 ALEXANDER PLACE,5/28/2013,,,,Deer stuck under deck.
64 ORDALE BOULEVARD,5/28/2013,,,,Sick deer on porch.
107 WOODLAND DRIVE,5/28/2013,,,,In area.
1177 FIRWOOD DRIVE,5/27/2013,,,,
71 WOODHAVEN DRIVE,5/26/2013,,,,
41 SPALDING CIRCLE,5/26/2013,,,,Deer charging fence.
202 PARKRIDGE LANE,5/25/2013,,,,Sick deer.
261 PARK ENTRANCE DRIVE,5/24/2013,,,,
442 SLEEPY HOLLOW ROAD,5/24/2013,,,,
71 LEBANON HILLS DRIVE,5/24/2013,,,,
1069 WASHINGTON ROAD,5/24/2013,,,,Deer stuck in fence.
438 SLEEPY HOLLOW ROAD,5/23/2013,,,,
GILKESON ROAD,5/23/2013,X,,,
30 ALEXANDER PLACE,5/21/2013,,,,
MCNEILLY ROAD,5/17/2013,X,,,
1000 KELTON AVENUE,5/17/2013,,,,Between buildings.
50 WOODLAND DRIVE,5/17/2013,,,,
563 AUDUBON AVENUE,5/16/2013,,,,Aggressive deer attacked dog.
1036 CEDAR BOULEVARD,5/15/2013,,,,
426 LONGRIDGE DRIVE,5/12/2013,,,,In lot.
1041 LINDENDALE DRIVE,5/12/2013,,,,
477 PARKVIEW DRIVE,5/10/2013,,,,
105 MOHAWK DRIVE,5/8/2013,,,,
300 HAZEL DRIVE,5/5/2013,,,,
CEDAR BOULEVARD,5/2/2013,X,,,Vehicle GOA.
44 ALTADENA DRIVE,5/2/2013,,,,
807 ACADEMY PLACE,4/25/2013,,,,Two dead deer.
1717 COCHRAN ROAD,4/23/2013,,,,
27 HOODRIDGE DRIVE,4/20/2013,,,,
1701 COCHRAN ROAD,4/8/2013,X,,,Deer and vehicle GOA.
1074 LINDENDALE DRIVE,4/8/2013,,,,
504 AUSTIN AVENUE,4/6/2013,,,,
81 MAYFAIR DRIVE,4/2/2013,,,,
LEBANON HILLS DRIVE,4/1/2013,,,,Walking in roadway.
124 DILLON DRIVE,4/1/2013,,,,
856 ACADEMY PLACE,4/1/2013,,,,Sick deer.
397 GILKESON ROAD,3/30/2013,X,,,Deer GOA.
576 AUSTIN AVENUE,3/30/2013,,,,
MCNEILLY ROAD,3/28/2013,,,,No vehicle.
817 ACADEMY PLACE,3/28/2013,,,,
1170 BOWER HILL ROAD,3/28/2013,,,,In woods.
CONNOR ROAD,3/28/2013,,,,
390 AVON DRIVE,3/27/2013,,,,
700 CONNOR ROAD,3/27/2013,,,,No vehicle on scene.
525 GREENHURST DRIVE,3/23/2013,,,,Deer GOA.
AVON DRIVE,3/19/2013,,,,
1717 COCHRAN ROAD,3/17/2013,,,,In woods.
123 ALTADENA DRIVE,3/17/2013,,,,
1000 MCNEILLY ROAD,3/15/2013,X,,,Discharged by officer; vehicle GOA.
SCOTT ROAD,3/13/2013,,,,
BOWER HILL ROAD,3/12/2013,X,,,
MCFARLAND ROAD,3/10/2013,X,,,Deer and vehicle GOA.
1026 CEDAR BOULEVARD,3/9/2013,X,,,Deer and vehicle GOA.
146 WOODHAVEN DRIVE,3/6/2013,,,,
900 CEDAR BOULEVARD,3/5/2013,,,,In woods.
20 ALTADENA DRIVE,3/4/2013,,,,
133 CRESCENT DRIVE,3/3/2013,,,,
12 FOREST GLEN DRIVE,2/28/2013,,,,
1216 WASHINGTON ROAD,2/23/2013,,,,Discharged by officer; no vehicle.
WASHINGTON ROAD,2/23/2013,,,,Herd of deer; one injured.
40 ALTADENA DRIVE,2/21/2013,,,,
SLEEPY HOLLOW ROAD,2/12/2013,,,,
249 ATLANTA DRIVE,2/11/2013,,,,
1500 WASHINGTON ROAD,2/9/2013,,,,Discharged by officer; no vehicle.
187 GILKESON ROAD,2/3/2013,,,,
ACADEMY AVENUE,1/29/2013,X,,,Deer struck.
493 THORNYCROFT AVENUE,1/28/2013,,,,
200 INGLEWOOD DRIVE,1/26/2013,,,,Deer stuck in fence.
841 LOVINGSTON DRIVE,1/23/2013,,,,Removed.
GILKESON ROAD,1/19/2013,X,,,Vehicle GOA.
121 MT. LEBANON BOULEVARD,1/19/2013,X,,,Vehicle GOA.
441 AVON DRIVE,1/17/2013,,,,
49 THORNWOOD DRIVE,1/17/2013,,,,
24 SUNNYHILL DRIVE,1/16/2013,,,,
746 NORTH MEADOWCROFT AVENUE,1/15/2013,,,,Deer stuck in fence.
1425 WASHINGTON ROAD,1/12/2013,,,,
BOWER HILL ROAD,1/11/2013,X,,,Discharged by officer; vehicle GOA.
BOWER HILL ROAD,1/8/2013,X,,,Deer ran into side of vehicle.
183 GILKESON ROAD,1/2/2013,X,,,Discharged by officer.
WASHINGTON ROAD,12/24/2012,,,,
WASHINGTON ROAD,12/22/2012,,,,
1000 MCNEILLY ROAD,12/21/2012,X,,,Deer ran across roadway; vehicle struck curb.
CEDAR BOULEVARD,12/19/2012,X,,,Deer discharged by officer; vehicle minor damage.
516 SLEEPY HOLLOW ROAD,12/19/2012,,,,
CEDAR BOULEVARD,12/17/2012,X,,,Vehicle damage.
CONNOR ROAD,12/16/2012,X,,,At Greenridge; vehicle minor damage.
114 HOODRIDGE DRIVE,12/13/2012,,,,
1145 BOWER HILL ROAD,12/13/2012,,,,In front of business.
255 HOODRIDGE DRIVE,12/10/2012,,,,
434 AVON DRIVE,12/9/2012,,,,
211 VERNON DRIVE,12/9/2012,,,,
912 MCNEILLY ROAD,12/6/2012,,,,
MCNEILLY ROAD,12/5/2012,X,,,Deer GOA.
721 BRAFFERTON DRIVE,12/1/2012,,,,
WASHINGTON ROAD,11/30/2012,X,,,Deer and vehicle GOA.
PINEWOOD DRIVE,11/30/2012,,,,
814 MACARTHUR DRIVE,11/29/2012,,,,
226 LYNN HAVEN DRIVE,11/28/2012,,,,Dog chasing deer through traffic.
826 VERMONT AVENUE,11/24/2012,,,,Discharged by officer.
CEDAR BOULEVARD,11/23/2012,,,,
87 IROQUOIS DRIVE,11/23/2012,,,,
678 KELSO ROAD,11/22/2012,,,,
26 WOODHAVEN DRIVE,11/21/2012,,,,
1701 COCHRAN ROAD,11/20/2012,,,,On side of road.
386 MORRISON DRIVE,11/19/2012,,,,
WASHINGTON ROAD,11/19/2012,X,,,No vehicle damage.
881 OLD HICKORY ROAD,11/19/2012,,,,GOA.
LINDENDALE DRIVE,11/18/2012,X,,,Discharged by officer; vehicle GOA.
WASHINGTON ROAD,11/17/2012,X,,,Vehicle minor damage.
MCCULLY STREET,11/17/2012,,,,On side of road; GOA.
638 KELSO ROAD,11/16/2012,,,,
287 SLEEPY HOLLOW ROAD,11/15/2012,,,,
1143 CEDAR BOULEVARD,11/15/2012,,,,
WASHINGTON ROAD,11/15/2012,,,,No vehicle on scene.
1500 WASHINGTON ROAD,11/15/2012,X,,,
CASTLE SHANNON BOULEVARD,11/12/2012,,,,On side of road.
WASHINGTON ROAD,11/11/2012,X,,,Vehicle GOA.
600 CASTLE SHANNON BOULEVARD,11/11/2012,X,,,Deer GOA; no vehicle on scene.
104 SENECA DRIVE,11/11/2012,,,,
GILKESON ROAD,11/9/2012,,,,Discharged by animal control.
90 WOODHAVEN DRIVE,11/9/2012,,,,Discharged by animal control.
CASTLE SHANNON BOULEVARD,11/8/2012,X,,,Discharged by officer.
CONNOR ROAD,11/7/2012,,,,No vehicle on scene.
CONNOR ROAD,11/6/2012,,,,No vehicle on scene.
490 CASTLE SHANNON BOULEVARD,11/6/2012,,,,Deer ran through business window.
BEADLING ROAD,11/4/2012,X,,,Deer GOA.
SCOTT ROAD,11/3/2012,X,,,No vehicle on scene.
171 VANDERBILT DRIVE,11/3/2012,,,,
230 BEVERLY ROAD,11/3/2012,,,,In lot.
1080 WASHINGTON ROAD,11/3/2012,X,,,Discharged by officer.
991 MCNEILLY ROAD,11/2/2012,,,,No vehicle.
COCHRAN ROAD,11/2/2012,,,,No vehicle.
63 CONNECTING ROAD,11/1/2012,,,,
CEDAR BOULEVARD,10/31/2012,X,,,At Morgan Drive; on side of road.
CEDAR BOULEVARD,10/28/2012,X,,,Deer GOA.
230 MT. LEBANON BOULEVARD,10/25/2012,X,,,Vehicle minor damage.
CONNOR ROAD,10/23/2012,,,,At Woodridge; deer GOA.
242 MAIN ENTRANCE DRIVE,10/22/2012,,,,
330 ORCHARD DRIVE,10/22/2012,,,,
BOWER HILL ROAD,10/22/2012,,,,On side of road.
GILKESON ROAD,10/22/2012,X,,,Deer GOA; vehicle minor damage.
120 VANDERBILT DRIVE,10/21/2012,,,,In garage.
1717 COCHRAN ROAD,10/21/2012,,,,In parking lot.
300 GILKESON ROAD,10/20/2012,,,,On side of road.
112 VANDERBILT DRIVE,10/20/2012,,,,By front door.
1105 WASHINGTON ROAD,10/19/2012,,,,No vehicle on scene.
300 GILKESON ROAD,10/15/2012,,,,On side of road.
708 PINETREE ROAD,10/15/2012,,,,
BOWER HILL ROAD,10/14/2012,,,,
CASTLE SHANNON BOULEVARD,10/13/2012,,,,
232 MT. LEBANON BOULEVARD,10/13/2012,,,,
1250 BOWER HILL ROAD,10/12/2012,,,,No vehicle on scene.
220 MT. LEBANON BOULEVARD,10/12/2012,,,,No vehicle.
221 COCHRAN ROAD,10/12/2012,,,,
MARLIN DRIVE WEST,10/11/2012,,,,
231 COCHRAN ROAD,10/11/2012,X,,,
259 CATALPA PLACE,10/10/2012,,,,In driveway.
WASHINGTON ROAD,10/9/2012,,,,No vehicle.
WASHINGTON ROAD,10/9/2012,,,,At Speakman Alley.
21 LONGUEVUE DRIVE,10/8/2012,,,,
1381 WASHINGTON ROAD,10/5/2012,,,,No vehicle on scene.
1717 COCHRAN ROAD,10/5/2012,,,,In parking lot.
CONNOR ROAD,10/3/2012,,,,2 dead deer.
641 ROCKWOOD AVENUE,10/3/2012,,,,
264 SHADOWLAWN AVENUE,10/3/2012,,,,
CARLETON DRIVE,10/2/2012,,,,No vehicle on scene.
727 PINETREE ROAD,10/1/2012,,,,
MCNEILLY ROAD,10/1/2012,,,,at KOHS
1721 COCHRAN ROAD,9/29/2012,,,,On side of road; GOA.
1160 WASHINGTON ROAD,9/29/2012,,,,
700 SCOTT ROAD,9/25/2012,X,,,Deer ran away.
MT. LEBANON BOULEVARD,9/25/2012,X,,,Deer and vehicle GOA.
70 STANDISH BOULEVARD,9/25/2012,,,,
SCOTT ROAD,9/24/2012,,,,On side of road; discharged by officer; no vehicle.
89 PARKRIDGE LANE,9/24/2012,,,,Deer GOA.
1250 BOWER HILL ROAD,9/24/2012,,,,
118 COCHRAN ROAD,9/22/2012,,,,2 injured deer; discharged by officer; no vehicle.
40 SUNNYHILL DRIVE,9/21/2012,,,,
GILKESON ROAD,9/21/2012,,,,No vehicle on scene.
SEGAR ROAD,9/14/2012,,,,On side of road.
PENNSYLVANIA BOULEVARD,9/12/2012,,,,In middle of trolley tracks.
SCOTT ROAD,9/10/2012,,,,On side of road.
144 SEMINOLE DRIVE,9/10/2012,,,,
940 ACADEMY PLACE,9/6/2012,,,,
GILKESON ROAD,9/6/2012,X,,,Deer GOA; vehicle minor damage.
SEGAR ROAD,9/4/2012,X,,,Vehicle minor damage at hospital entrance.
1281 CEDAR BOULEVARD,9/4/2012,,,,Discharged by animal control.
509 WASHINGTON ROAD,9/3/2012,,,,Stuck in fence.
31 GLEN RIDGE LANE,9/2/2012,,,,
1411 BOWER HILL ROAD,9/1/2012,,,,
CEDAR BOULEVARD,8/28/2012,X,,,Struck curb avoiding deer.
330 JEFFERSON DRIVE,8/28/2012,,,,Deer GOA.
100 SUNNYHILL DRIVE,8/27/2012,,,,
BOWER HILL ROAD,8/26/2012,,,,No vehicle on scene.
1105 WASHINGTON ROAD,8/26/2012,,,,
1436 WASHINGTON ROAD,8/25/2012,X,,,
71 LONGUEVUE DRIVE,8/24/2012,,,,
CRYSTAL DRIVE,8/24/2012,,,,On side of road.
200 SLEEPY HOLLOW ROAD,8/20/2012,,,,
CONNOR ROAD,8/17/2012,X,,,
1717 COCHRAN ROAD,8/15/2012,,,,In parking lot; deer GOA.
768 SCOTT ROAD,8/14/2012,X,,,At cemetery; no vehicle on scene.
GILKESON ROAD,8/4/2012,X,,,No vehicle on scene.
2 CORNELL PLACE,7/30/2012,,,,In driveway.
413 SLEEPY HOLLOW ROAD,7/27/2012,,,,
215 LONGUEVUE DRIVE,7/24/2012,,,,
1000 MCNEILLY ROAD,7/24/2012,,,,In driveway.
1535 WASHINGTON ROAD,7/23/2012,,,,No vehicle on scene.
731 ROCKWOOD AVENUE,7/21/2012,,,,
195 MT. LEBANON BOULEVARD,7/20/2012,,,,Deer/dog fight.
818 PARKSIDE AVENUE,7/17/2012,,,,
SCOTT ROAD,7/15/2012,X,,,Deer & vehicle GOA.
214 VERNON DRIVE,7/15/2012,,,,Deer/dog fight.
WASHINGTON ROAD,7/11/2012,X,,,Deer and vehicle GOA.
780 HIGHVUE ROAD,7/4/2012,,,,
BROADMOOR AVENUE,7/2/2012,,,,
828 NORTH MEADOWCROFT AVENUE,7/2/2012,,,,
900 BOWER HILL ROAD,6/27/2012,,,,
245 JEFFERSON DRIVE,6/26/2012,,,,
280 ASHLAND AVENUE,6/21/2012,,,,Stuck in fence.
466 CASTLE SHANNON BOULEVARD,6/18/2012,X,,,Landed on windshield; ran away.
BOWER HILL ROAD,6/17/2012,,,,
CONNOR ROAD,6/16/2012,,,,No vehicle on scene.
445 SUMMIT DRIVE,6/16/2012,,,,
131 WOODHAVEN DRIVE,6/14/2012,,,,
363 BEADLING ROAD,6/11/2012,,,,In lot.
469 SUMMIT DRIVE,6/8/2012,,,,
MCFARLAND ROAD,5/30/2012,,,,
101 ROYCROFT AVENUE,5/23/2012,,,,
LINDENDALE DRIVE,5/22/2012,,,,
133 JAMES PLACE,5/16/2012,,,,
94 ORDALE BOULEVARD,5/15/2012,,,,
751 BOWER HILL ROAD,5/7/2012,,,,
617 ROCKWOOD AVENUE,5/5/2012,,,,
CASTLE SHANNON BOULEVARD,4/27/2012,,,,Discharged by officer; vehicle GOA.
700 BOWER HILL ROAD,4/26/2012,,,,Discharged by officer; vehicle GOA
100 CONNOR ROAD,4/22/2012,X,X,,Deer in roadway; driver swerved avoiding deer; flipped vehicle & struck pole.
7 FOREST GLEN DRIVE,4/22/2012,,,,
225 LYNN HAVEN DRIVE,4/20/2012,,,,
289 PARK ENTRANCE DRIVE,4/18/2012,,,,
448 ROYCE AVENUE,4/14/2012,,,,
SCOTT ROAD,4/11/2012,X,,,
WASHINGTON ROAD,4/9/2012,,,,
225 LYNN HAVEN DRIVE,4/8/2012,,,,
1000 BOWER HILL ROAD,4/2/2012,,,,Discharged by officer; no vehicle.
264 CONNECTING ROAD,3/31/2012,,,,
40 LEMOYNE AVENUE,3/29/2012,,,,
SCOTT ROAD,3/28/2012,X,,,Deer GOA.
1159 CEDAR BOULEVARD,3/21/2012,X,,,"2 vehicles; 1 of 3 deer struck in roadway soutbound, then struck northbound vehicle."
CONNECTING ROAD,3/14/2012,,,,
441 AVON DRIVE,3/6/2012,,,,
275 MAIN ENTRANCE DRIVE,3/6/2012,,,,
1331 PINEWOOD DRIVE,3/5/2012,,,,
BOWER HILL ROAD,3/1/2012,,,,Discharged by officer; no vehicle.
COCHRAN ROAD,2/24/2012,X,,,Deer ran across roadway; rear end crash.
740 NORTH MEADOWCROFT AVENUE,2/24/2012,,,,Discharged by animal control.
800 BOWER HILL ROAD,2/20/2012,X,,,Discharged by officer.
GILKESON ROAD,2/13/2012,,,,No vehicle on scene.
BOWER HILL ROAD,2/10/2012,,,,No vehicle on scene.
1020 WASHINGTON ROAD,2/7/2012,,,,Deer and vehicle GOA.
COCHRAN ROAD,2/7/2012,,,,No vehicle.
386 PARKWAY DRIVE,2/3/2012,,,,
50 ORDALE BOULEVARD,2/2/2012,,,,
CEDAR BOULEVARD,1/29/2012,,,,at DPW.
744 SCRUBGRASS ROAD,1/29/2012,,,,
824 KELSO ROAD,1/28/2012,,,,Discharged by animal control.
686 CRYSTAL DRIVE,1/25/2012,X,,,Deer ran across roadway; vehicle struck pole.
579 KELSO ROAD,1/12/2012,,,,
BOWER HILL ROAD,1/8/2012,,,,
931 MCNEILLY ROAD,1/8/2012,,,,
1701 COCHRAN ROAD,1/5/2012,,,,Deer GOA.
100 MT. LEBANON BOULEVARD,1/5/2012,X,,,Discharged by officer.
CEDAR BOULEVARD,1/4/2012,X,,,deer in roadway; 2 vehicle; rear-ended.
900 WASHINGTON ROAD,1/2/2012,,,,No vehicle.
327 CEDAR BOULEVARD,1/1/2012,,,,
321 BEADLING ROAD,12/31/2011,X,,,Discharged by officer.
KELSO ROAD,12/28/2011,X,,,On side of road.
SCRUBGRASS ROAD,12/26/2011,X,,,At Swallow Hill.
1208 BOWER HILL ROAD,12/20/2011,,,,
KELSO ROAD,12/19/2011,X,,,Deer & vehicle GOA.
69 ORDALE BOULEVARD,12/19/2011,,,,
11 BROADMOOR AVENUE,12/18/2011,,,,
56 ALTADENA DRIVE,12/17/2011,,,,
CONNOR ROAD,12/11/2011,,,,
FIRWOOD DRIVE,12/7/2011,,,,
919 MCNEILLY ROAD,12/5/2011,,,,No vehicle.
191 GILKESON ROAD,12/3/2011,,,,No vehicle.
RUTH STREET,12/2/2011,,,,
KELSO ROAD,12/1/2011,,,,
101 SLEEPY HOLLOW ROAD,11/30/2011,,,,
929 ROCKWOOD AVENUE,11/27/2011,,,,In ditch.
1021 GREENLAWN DRIVE,11/27/2011,,,,
1535 OSAGE ROAD,11/26/2011,,,,
1295 CEDAR BOULEVARD,11/23/2011,X,,,No damage.
798 SCRUBGRASS ROAD,11/23/2011,X,,,
908 MCNEILLY ROAD,11/23/2011,,,,No vehicle.
BOWER HILL ROAD,11/22/2011,X,,,No vehicle on scene.
504 WASHINGTON ROAD,11/21/2011,,,,No vehicle on scene.
700 CONNOR ROAD,11/19/2011,X,,,Discharged by officer.
1300 BOWER HILL ROAD,11/18/2011,X,,,Deer jumped and struck vehicle windshield; discharged by animal control.
1138 PINEWOOD DRIVE,11/18/2011,,,,
255 GILKESON ROAD,11/16/2011,X,,,
1200 WASHINGTON ROAD,11/16/2011,X,,,Struck PD vehicle; deer ran away.
16 MT. LEBANON BOULEVARD,11/15/2011,,,,Stuck on gate.
1000 BOWER HILL ROAD,11/15/2011,X,,,No vehicle on scene.
141 LONGUEVUE DRIVE,11/14/2011,,,,On fence.
900 SEGAR ROAD,11/11/2011,X,,,Deer struck at entrance to St. Clair Hospital parking garage.
1426 WASHINGTON ROAD,11/3/2011,,,,No vehicle on scene; discharged by officer.
155 COCHRAN ROAD,11/3/2011,X,,,Discharged by officer.
1651 MCFARLAND ROAD,10/26/2011,,,,In parking lot; no vehicle.
900 SEGAR ROAD,10/23/2011,,,,South side of roadway; St. Clair Hospital
796 SCRUBGRASS ROAD,10/19/2011,,,,
400 COCHRAN ROAD,10/15/2011,X,,,Deer ran into side of vehicle; deer ran off.
360 CASTLE SHANNON BOULEVARD,10/14/2011,X,,,No vehicle on scene; grill and headlight in roadway.
750 HOLLYCREST DRIVE,10/11/2011,,,,
1685 MCFARLAND ROAD,10/11/2011,X,,,No vehicle; side of road
569 KELSO ROAD,10/10/2011,,,,No vehicle.
558 KELSO ROAD,10/9/2011,X,,,
758 SCOTT ROAD,10/7/2011,X,,,No vehicle on scene
118 COCHRAN ROAD,10/7/2011,X,X,,Deer struck
370 CASTLE SHANNON BOULEVARD,10/6/2011,X,,,Crash form
BOWER HILL ROAD,10/6/2011,X,,,Resident reported he struck a deer.
847 MCNEILLY ROAD,10/4/2011,,,,
1017 LINDENDALE DRIVE,10/4/2011,,,,
394 JEFFERSON DRIVE,9/27/2011,,,,Stuck in fence
240 WOODHAVEN DRIVE,9/26/2011,,,,
87 IROQUOIS DRIVE,9/19/2011,,,,
1063 LAKEMONT DRIVE,9/19/2011,,,,
426 LONGRIDGE DRIVE,9/18/2011,,,,Side yard
180 MOHAWK DRIVE,9/14/2011,,,,Deer stuck on fence
CASTLE SHANNON BOULEVARD,9/14/2011,X,,,On side of road
63 GLEN RIDGE LANE,9/10/2011,,,,
796 SCRUBGRASS ROAD,9/2/2011,,,,Behind guardrail
WOODLAND DRIVE,1/11/2011,,,,Deer GOA.
